task,system,basis,control,n_hidden,network_seed,converged,accuracy,hidden_unit,best_freq,best_R,best_phase,best_freq_cos,best_R_cos,concentration,null_p,null_mean,null_p95,pitch_height_r,random_r_p95
iran_interval_separate,Iranian-17,dft,none,7,128320246,False,0.8758,6,12,0.9714,-0.0,12,0.9714,0.589,0.0005,0.6097,0.7451,0.1146,0.516
iran_interval_separate,Iranian-17,dft,input_shuffled,7,128320246,False,0.8954,0,10,0.8464,-0.1427,10,0.8388,0.5068,0.0025,0.6026,0.7413,0.3738,0.486
iran_interval_separate,Iranian-17,dft,input_shuffled,7,128320246,False,0.8954,1,8,0.7366,-0.5206,8,0.6288,0.3815,0.05797,0.6051,0.7442,0.263,0.5432
iran_interval_separate,Iranian-17,dft,input_shuffled,7,128320246,False,0.8954,2,2,0.8425,0.0657,2,0.8409,0.5105,0.005,0.6124,0.7623,0.0897,0.4548
iran_interval_separate,Iranian-17,dft,input_shuffled,7,128320246,False,0.8954,3,1,0.8788,1.5533,9,0.1949,0.5459,0.0015,0.6084,0.7529,0.7472,0.4768
iran_interval_separate,Iranian-17,dft,input_shuffled,7,128320246,False,0.8954,4,8,0.9511,1.993,8,0.3698,0.6568,0.0005,0.6157,0.7668,0.1183,0.4553
iran_interval_separate,Iranian-17,dft,input_shuffled,7,128320246,False,0.8954,5,12,0.9548,3.1416,12,0.9548,0.5731,0.001,0.6059,0.7399,0.1274,0.4784
iran_interval_separate,Iranian-17,dft,input_shuffled,7,128320246,False,0.8954,6,5,0.9495,-2.1884,5,0.5556,0.61,0.0005,0.6084,0.7462,0.2385,0.4976
iran_interval_separate,Iranian-17,dft,label_shuffled,7,128320246,False,0.6536,0,12,0.6188,3.1416,12,0.6188,0.2446,0.33533,0.5955,0.7298,0.1419,0.4657
iran_interval_separate,Iranian-17,dft,label_shuffled,7,128320246,False,0.6536,1,2,0.54,1.6248,5,0.5214,0.2058,0.78611,0.6021,0.7351,0.0354,0.5053
iran_interval_separate,Iranian-17,dft,label_shuffled,7,128320246,False,0.6536,2,4,0.6804,2.1022,6,0.4332,0.3446,0.17241,0.607,0.7534,0.255,0.4718
iran_interval_separate,Iranian-17,dft,label_shuffled,7,128320246,False,0.6536,3,10,0.5698,-1.8721,7,0.5197,0.2284,0.65667,0.607,0.7454,0.1781,0.5079
iran_interval_separate,Iranian-17,dft,label_shuffled,7,128320246,False,0.6536,4,10,0.7523,-1.4591,3,0.4247,0.3866,0.04648,0.6077,0.7474,0.251,0.4563
iran_interval_separate,Iranian-17,dft,label_shuffled,7,128320246,False,0.6536,5,4,0.6448,2.7976,4,0.6025,0.2695,0.15842,0.5794,0.7,0.1281,0.4356
iran_interval_separate,Iranian-17,dft,label_shuffled,7,128320246,False,0.6536,6,5,0.6015,-0.4309,5,0.546,0.2406,0.47976,0.6055,0.7418,0.2278,0.4693
iran_interval_separate,Iranian-17,dft,none,7,1136854445,False,0.8758,0,1,0.9076,1.0178,1,0.5088,0.5731,0.0025,0.6154,0.7701,0.7957,0.4976
iran_interval_separate,Iranian-17,dft,none,7,1136854445,False,0.8758,1,7,0.8858,-0.5319,7,0.7647,0.5309,0.001,0.6041,0.7406,0.0304,0.5114
iran_interval_separate,Iranian-17,dft,none,7,1136854445,False,0.8758,2,5,0.9258,0.5713,5,0.7804,0.5787,0.0005,0.6013,0.7334,0.1741,0.4779
iran_interval_separate,Iranian-17,dft,none,7,1136854445,False,0.8758,3,12,0.9159,-0.0,12,0.9159,0.5304,0.001,0.6104,0.7519,0.0543,0.4663
